Date,New_Lows,Total_Issues,New_Lows_Ratio
2023-08-04,90,4854,1.8541409147095178
2023-08-07,146,4853,3.008448382443849
2023-08-08,174,4854,3.584672435105068
2023-08-09,158,4854,3.2550473836011533
2023-08-10,144,4855,2.966014418125644
2023-08-11,144,4855,2.966014418125644
2023-08-14,179,4857,3.6854025118385834
2023-08-15,211,4860,4.341563786008231
2023-08-16,241,4860,4.958847736625514
2023-08-17,245,4860,5.041152263374485
2023-08-18,234,4859,4.81580572134184
2023-08-21,194,4860,3.991769547325103
2023-08-22,205,4861,4.217239251182884
2023-08-23,160,4861,3.2915038058012756
2023-08-24,206,4861,4.237811149969143
2023-08-25,189,4861,3.8880888706027563
2023-08-28,131,4861,2.6949187409997943
2023-08-29,100,4863,2.056343820686819
2023-08-30,71,4863,1.4600041126876413
2023-08-31,82,4863,1.6862019329631914
2023-09-01,81,4864,1.6652960526315792
2023-09-05,157,4863,3.2284597984783057
2023-09-06,179,4863,3.6808554390294055
2023-09-07,256,4863,5.2642401809582555
2023-09-08,227,4864,4.666940789473684
2023-09-11,205,4866,4.212905877517468
2023-09-12,188,4867,3.8627491267721386
2023-09-13,205,4868,4.211175020542317
2023-09-14,156,4871,3.2026277971669064
2023-09-15,213,4872,4.37192118226601
2023-09-18,247,4873,5.068746152267597
2023-09-19,252,4876,5.1681706316652996
2023-09-20,221,4879,4.529616724738676
2023-09-21,404,4879,8.280385324861651
2023-09-22,356,4880,7.295081967213115
2023-09-25,409,4881,8.379430444581029
2023-09-26,380,4881,7.785289899610735
2023-09-27,386,4884,7.903357903357904
2023-09-28,312,4884,6.388206388206388
2023-09-29,173,4885,3.5414534288638686
2023-10-02,419,4887,8.573767137303049
2023-10-03,593,4887,12.134233681195008
2023-10-04,478,4888,9.779050736497545
2023-10-05,376,4888,7.6923076923076925
2023-10-06,388,4890,7.934560327198365
2023-10-09,314,4892,6.418642681929682
2023-10-10,150,4893,3.065603923973023
2023-10-11,180,4895,3.6772216547497445
2023-10-12,356,4895,7.2727272727272725
2023-10-13,373,4895,7.620020429009193
2023-10-16,213,4894,4.352268083367389
2023-10-17,175,4894,3.575807110747854
2023-10-18,300,4894,6.129955046996322
2023-10-19,464,4896,9.477124183006536
2023-10-20,521,4899,10.634823433353747
2023-10-23,658,4900,13.428571428571429
2023-10-24,413,4900,8.428571428571429
2023-10-25,682,4901,13.915527443378902
2023-10-26,549,4900,11.204081632653061
2023-10-27,628,4902,12.81109751121991
2023-10-30,458,4902,9.34312525499796
2023-10-31,285,4902,5.813953488372093
2023-11-01,337,4902,6.874745002039983
2023-11-02,157,4903,3.2021211503161333
2023-11-03,69,4904,1.4070146818923328
2023-11-06,98,4905,1.99796126401631
2023-11-07,126,4905,2.5688073394495414
2023-11-08,187,4905,3.81243628950051
2023-11-09,301,4905,6.1365953109072375
2023-11-10,337,4907,6.867739963317709
2023-11-13,227,4907,4.626044426329734
2023-11-14,116,4907,2.3639698390055024
2023-11-15,84,4908,1.7114914425427872
2023-11-16,103,4907,2.0990421846341962
2023-11-17,86,4909,1.7518842941535953
2023-11-20,77,4909,1.5685475656956611
2023-11-21,108,4909,2.200040741495213
2023-11-22,82,4909,1.670401303727847
2023-11-24,50,4909,1.0185373803218578
2023-11-27,74,4910,1.5071283095723014
2023-11-28,92,4912,1.8729641693811077
2023-11-29,85,4911,1.7308083893300754
2023-11-30,99,4913,2.0150620801954
2023-12-01,73,4914,1.4855514855514855
2023-12-04,50,4915,1.017293997965412
2023-12-05,66,4915,1.342828077314344
2023-12-06,84,4914,1.7094017094017095
2023-12-07,101,4915,2.0549338758901325
2023-12-08,76,4915,1.5462868769074263
2023-12-11,114,4915,2.3194303153611395
2023-12-12,137,4916,2.7868185516680226
2023-12-13,122,4916,2.481692432872254
